Date,Device_ID,Device_type,Device,Site,Ambient,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width,Count
2023-09-03,AMMOD2_0564,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Schwenckfeldina,carbonaria,3.12,4.300000000000001,1.165,73
2023-09-03,AMMOD2_0565,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Diplonevra,nitidula,1.2314285714285715,2.912857142857143,0.89,598
2023-09-03,AMMOD2_0566,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Melanostoma,mellinum,12.29572580645161,7.508467741935483,2.1483064516129025,1950
2023-09-03,AMMOD2_0567,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,3205
2023-09-03,AMMOD2_0568,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,175
2023-09-03,AMMOD2_0569,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,subobscura,8.696344827586204,5.522551724137931,1.7546666666666675,134
2023-09-03,AMMOD2_0570,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,37
2023-09-03,AMMOD2_0571,AMMOD,AMMOD2,Site2,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Braconidae,Blacinae,Blacus,stelfoxi,2.5116216216216225,3.7481081081081076,1.0197297297297299,18
2023-09-03,AMMOD2_0572,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,tigrina,13.525750000000013,5.991083333333332,2.2562500000000005,22
2023-09-03,AMMOD2_0573,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Metopininae,Megaselia,pleuralis,1.2314285714285715,2.912857142857143,0.89,307
2023-09-03,AMMOD2_0574,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,urticae,3.12,4.300000000000001,1.165,75
2023-09-03,AMMOD2_0575,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,Culicinae,Culiseta,annulata,1.84,4.54,0.99,14
2023-09-03,AMMOD2_0576,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Corynoptera,perpusilla,3.12,4.300000000000001,1.165,127
2023-09-03,AMMOD2_0577,AMMOD,AMMOD2,Site2,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Braconidae,Aphidiinae,Ephedrus,nacheri,2.5116216216216225,3.7481081081081076,1.0197297297297299,2
2023-09-03,AMMOD2_0578,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Scaptomyza,pallida,8.696344827586204,5.522551724137931,1.7546666666666675,17
2023-09-03,AMMOD2_0579,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Micromyinae,Aprionus,brachypterus,1.6263636363636365,3.475454545454545,0.9245454545454546,15
2023-09-03,AMMOD2_0580,AMMOD,AMMOD2,Site2,Maize,Insecta,Hemiptera,Cicadomorpha,Cicadomorpha,Membracoidea,Cicadellidae,Typhlocybinae,Ribautiana,debilis,5.600163934426228,4.548524590163934,1.525737704918033,80
2023-09-03,AMMOD2_0581,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Tricimba,cincta,2.167586206896551,3.907931034482758,1.0355172413793103,1
2023-09-03,AMMOD2_0582,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Sphaeroceroidea,Sphaeroceridae,Limosininae,Pullimosina,pullula,8.696344827586204,5.522551724137931,1.7546666666666675,7
2023-09-03,AMMOD2_0583,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Aphanotrigonum,trilineatum,2.167586206896551,3.907931034482758,1.0355172413793103,8
2023-09-03,AMMOD2_0584,AMMOD,AMMOD2,Site2,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Ichneumoninae,Diadromus,collaris,5.311379310344828,5.228275862068966,1.1537931034482758,52
2023-09-03,AMMOD2_0585,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycetophilinae,Mycetophila,caudata,1.8561538461538463,3.6023076923076927,0.9615384615384617,1
2023-09-03,AMMOD2_0586,AMMOD,AMMOD2,Site2,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Cynipoidea,Figitidae,Eucoilinae,Kleidotoma,tetratoma,21.5063829787234,5.856666666666664,1.9010638297872344,3
2023-09-03,AMMOD2_0587,AMMOD,AMMOD2,Site2,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,platura,4.8100000000000005,4.535,1.6749999999999998,1
2023-09-03,AMMOD2_0588,AMMOD,AMMOD2,Site2,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Chalcidoidea,Mymaridae,#child.Mymaridae,Anagrus,atomus,1.214,2.9839999999999995,0.8020000000000002,1
2023-08-23,AMMOD3_0589,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,#child.Sciaridae,Lycoriella,sativae,3.12,4.300000000000001,1.165,57
2023-08-23,AMMOD3_0590,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,Bibioninae,Dilophus,febrilis,1.8561538461538463,3.6023076923076927,0.9615384615384617,459
2023-08-23,AMMOD3_0591,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Siphona,geniculata,8.696344827586204,5.522551724137931,1.7546666666666675,70
2023-08-23,AMMOD3_0592,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,456
2023-08-23,AMMOD3_0593,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Noctua,pronuba,1.95,3.9666666666666663,1.0333333333333334,355
2023-08-23,AMMOD3_0594,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Botanophila,fugax,4.8100000000000005,4.535,1.6749999999999998,154
2023-08-23,AMMOD3_0595,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Schwenckfeldina,carbonaria,3.12,4.300000000000001,1.165,397
2023-08-23,AMMOD3_0596,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Diplonevra,nitidula,1.2314285714285715,2.912857142857143,0.89,94
2023-08-23,AMMOD3_0597,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,94
2023-08-23,AMMOD3_0598,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Incertella,albipalpis,2.167586206896551,3.907931034482758,1.0355172413793103,166
2023-08-23,AMMOD3_0599,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Mythimna,pallens,1.95,3.9666666666666663,1.0333333333333334,329
2023-08-23,AMMOD3_0600,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Cecidomyiinae,Anaretella,iola,1.6263636363636365,3.475454545454545,0.9245454545454546,19
2023-08-23,AMMOD3_0601,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,142
2023-08-23,AMMOD3_0602,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,42
2023-08-23,AMMOD3_0603,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Phygadeuontinae,Phygadeuon,trichops,5.311379310344828,5.228275862068966,1.1537931034482758,41
2023-08-23,AMMOD3_0604,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Polleniidae,#child.Polleniidae,Pollenia,rudis,8.696344827586204,5.522551724137931,1.7546666666666675,22
2023-08-23,AMMOD3_0605,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Dolichopodidae,Medeterinae,Medetera,pallipes,3.9976666666666674,3.9993333333333334,1.274,34
2023-08-23,AMMOD3_0606,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Lydella,grisescens,8.696344827586204,5.522551724137931,1.7546666666666675,14
2023-08-23,AMMOD3_0607,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,tigrina,13.525750000000013,5.991083333333332,2.2562500000000005,34
2023-08-23,AMMOD3_0608,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,urticae,3.12,4.300000000000001,1.165,6
2023-08-23,AMMOD3_0609,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Phytomyza,rufipes,1.27,3.23,0.8766666666666666,60
2023-08-23,AMMOD3_0610,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Scathophagidae,Scathophaginae,Scathophaga,stercoraria,3.1525,3.5658333333333325,1.1741666666666666,313
2023-08-23,AMMOD3_0611,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,Asilidae,Asilinae,Tolmerus,atricapillus,5.96,10.965,1.52,42
2023-08-23,AMMOD3_0612,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,#child.Fanniidae,Fannia,canicularis,6.208333333333333,3.9266666666666663,1.413333333333333,54
2023-08-23,AMMOD3_0613,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Metopininae,Megaselia,manicata,1.2314285714285715,2.912857142857143,0.89,226
2023-08-23,AMMOD3_0614,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Lonchopteridae,#child.Lonchopteridae,Lonchoptera,lutea,0.8860000000000001,2.662,0.7869999999999999,5
2023-08-23,AMMOD3_0615,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,Culicinae,Culex,pipiens,1.84,4.54,0.99,2
2023-08-23,AMMOD3_0616,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Phasiinae,Cylindromyia,brassicaria,8.696344827586204,5.522551724137931,1.7546666666666675,107
2023-08-23,AMMOD3_0617,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Metopininae,Megaselia,albicans,1.2314285714285715,2.912857142857143,0.89,22
2023-08-23,AMMOD3_0618,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Tachina,fera,8.696344827586204,5.522551724137931,1.7546666666666675,4
2023-08-23,AMMOD3_0619,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Gracillarioidea,Gracillariidae,Gracillariinae,Phyllonorycter,rajella,1.95,3.9666666666666663,1.0333333333333334,4
2023-08-23,AMMOD3_0620,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Anomaloninae,Erigorgus,cerinops,5.311379310344828,5.228275862068966,1.1537931034482758,89
2023-08-23,AMMOD3_0621,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Phygadeuontinae,Ethelurgus,sodalis,5.311379310344828,5.228275862068966,1.1537931034482758,60
2023-08-23,AMMOD3_0622,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Phora,atra,1.2314285714285715,2.912857142857143,0.89,16
2023-08-23,AMMOD3_0623,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae,Lasioglossum,pauxillum,64.4823076923077,8.925897435897436,3.27948717948718,10
2023-08-23,AMMOD3_0624,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Agromyzinae,Ophiomyia,nasuta,1.27,3.23,0.8766666666666666,8
2023-08-23,AMMOD3_0625,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Pompiloidea,Mutillidae,Myrmosinae,Myrmosa,atra,21.5063829787234,5.856666666666664,1.9010638297872344,41
2023-08-23,AMMOD3_0626,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Hybrizontinae,Hybrizon,buccatus,5.311379310344828,5.228275862068966,1.1537931034482758,40
2023-08-23,AMMOD3_0627,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Campopleginae,Campoletis,annulata,5.311379310344828,5.228275862068966,1.1537931034482758,9
2023-08-23,AMMOD3_0628,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Chrysidoidea,Bethylidae,Epyrinae,Epyris,niger,1.59,4.02,0.89,2
2023-08-23,AMMOD3_0629,AMMOD,AMMOD3,Site3,Meadow,Insecta,Orthoptera,Caelifera,Acrididea,Acridoidea,Acrididae,Gomphocerinae,Chorthippus,albomarginatus,114.27214285714287,17.234285714285715,3.2835714285714284,22
2023-08-23,AMMOD3_0630,AMMOD,AMMOD3,Site3,Meadow,Malacostraca,Isopoda,Oniscidea,Holoverticata,#child.Holoverticata,Trachelipodidae,#child.Trachelipodidae,Trachelipus,rathkii,2.407777777777778,3.8177777777777777,1.458888888888889,1
2023-08-23,AMMOD3_0631,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Proctotrupomorpha,Platygastroidea,Scelionidae,Scelioninae,Triteleia,peyerimhoffi,0.21,1.7,0.49,7
2023-08-23,AMMOD3_0632,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Eumeninae,Ancistrocerus,gazella,71.46,13.613333333333335,4.026666666666666,7
2023-08-23,AMMOD3_0633,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Phasiinae,Phania,funesta,8.696344827586204,5.522551724137931,1.7546666666666675,5
2023-08-24,AMMOD3_0634,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,#child.Sciaridae,Lycoriella,sativae,3.12,4.300000000000001,1.165,3
2023-08-24,AMMOD3_0635,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae,Vespula,germanica,71.46,13.613333333333335,4.026666666666666,3
2023-08-24,AMMOD3_0636,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,732
2023-08-24,AMMOD3_0637,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Noctua,pronuba,1.95,3.9666666666666663,1.0333333333333334,461
2023-08-24,AMMOD3_0638,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Phaoniinae,Phaonia,tuguriorum,13.525750000000013,5.991083333333332,2.2562500000000005,66
2023-08-24,AMMOD3_0639,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Hoplodrina,ambigua,1.95,3.9666666666666663,1.0333333333333334,620
2023-08-24,AMMOD3_0640,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Botanophila,fugax,4.8100000000000005,4.535,1.6749999999999998,6
2023-08-24,AMMOD3_0641,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Dolichopodidae,Medeterinae,Medetera,jacula,3.9976666666666674,3.9993333333333334,1.274,78
2023-08-24,AMMOD3_0642,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Melanostoma,mellinum,12.29572580645161,7.508467741935483,2.1483064516129025,54
2023-08-24,AMMOD3_0643,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,108
2023-08-24,AMMOD3_0644,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Incertella,albipalpis,2.167586206896551,3.907931034482758,1.0355172413793103,20
2023-08-24,AMMOD3_0645,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Mythimna,pallens,1.95,3.9666666666666663,1.0333333333333334,248
2023-08-24,AMMOD3_0646,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,327
2023-08-24,AMMOD3_0647,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,87
2023-08-24,AMMOD3_0648,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,variegata,8.696344827586204,5.522551724137931,1.7546666666666675,225
2023-08-24,AMMOD3_0649,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,#child.Fanniidae,Fannia,latipalpis,6.208333333333333,3.9266666666666663,1.413333333333333,3
2023-08-24,AMMOD3_0650,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Lonchaeoidea,Lonchaeidae,Lonchaeinae,Lonchaea,sylvatica,8.696344827586204,5.522551724137931,1.7546666666666675,18
2023-08-24,AMMOD3_0651,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Polleniidae,#child.Polleniidae,Pollenia,rudis,8.696344827586204,5.522551724137931,1.7546666666666675,24
2023-08-24,AMMOD3_0652,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Dolichopodidae,Medeterinae,Medetera,pallipes,3.9976666666666674,3.9993333333333334,1.274,74
2023-08-24,AMMOD3_0653,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycetophilinae,Platurocypta,punctum,1.8561538461538463,3.6023076923076927,0.9615384615384617,61
2023-08-24,AMMOD3_0654,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,tigrina,13.525750000000013,5.991083333333332,2.2562500000000005,25
2023-08-24,AMMOD3_0655,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Opomyzidae,Opomyzinae,Opomyza,germinationis,1.27,3.23,0.8766666666666666,10
2023-08-24,AMMOD3_0656,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,Culicinae,Aedes,vexans,1.84,4.54,0.99,17
2023-08-24,AMMOD3_0657,AMMOD,AMMOD3,Site3,Meadow,Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Mordellidae,Mordellinae,Tomoxia,bucephala,13.394999999999998,7.646249999999999,2.03375,386
2023-08-24,AMMOD3_0658,AMMOD,AMMOD3,Site3,Meadow,Insecta,Dermaptera,Forficulina,Epidermaptera,Forficuloidea,Forficulidae,Forficulinae,Forficula,auricularia,17.54017241379311,7.183448275862067,1.789482758620689,144
2023-08-24,AMMOD3_0659,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Tachina,fera,8.696344827586204,5.522551724137931,1.7546666666666675,39
2023-08-24,AMMOD3_0660,AMMOD,AMMOD3,Site3,Meadow,Insecta,Lepidoptera,Glossata,Heterocera,Tortricoidea,Tortricidae,Olethreutinae,Grapholita,compositella,1.95,3.9666666666666663,1.0333333333333334,76
2023-08-24,AMMOD3_0661,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Linnaemya,tessellans,8.696344827586204,5.522551724137931,1.7546666666666675,61
2023-08-24,AMMOD3_0662,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hemiptera,Heteroptera,Pentatomomorpha,Miroidea,Miridae,Mirinae,Lygus,pratensis,7.53303886925795,5.821802120141343,1.8166077738515907,56
2023-08-24,AMMOD3_0663,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Blaesoxipha,laticornis,8.696344827586204,5.522551724137931,1.7546666666666675,46
2023-08-24,AMMOD3_0664,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Pipunculidae,Chalarinae,Chalarus,spurius,1.6675,3.1899999999999995,1.1375,36
2023-08-24,AMMOD3_0665,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Campopleginae,Dusona,opaca,5.311379310344828,5.228275862068966,1.1537931034482758,8
2023-08-24,AMMOD3_0666,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Campopleginae,Diadegma,chrysostictos,5.311379310344828,5.228275862068966,1.1537931034482758,25
2023-08-24,AMMOD3_0667,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Rhyparochromidae,Rhyparochrominae,Rhyparochromus,vulgaris,4.595,3.9050000000000002,1.7349999999999999,15
2023-08-24,AMMOD3_0668,AMMOD,AMMOD3,Site3,Meadow,Insecta,Hymenoptera,Apocrita,Aculeata,Chrysidoidea,Bethylidae,Epyrinae,Epyris,niger,1.59,4.02,0.89,22
2023-08-24,AMMOD3_0669,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sepsidae,Sepsinae,Themira,putris,1.5423809523809524,3.3747619047619057,0.9642857142857143,24
2023-08-24,AMMOD3_0670,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Actia,lamia,8.696344827586204,5.522551724137931,1.7546666666666675,6
2023-08-24,AMMOD3_0671,AMMOD,AMMOD3,Site3,Meadow,Insecta,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Attelabidae,Rhynchitinae,Auletobius,anceps,2.59962962962963,3.2672222222222227,1.1698148148148149,1
2023-08-25,AMMOD3_0672,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,#child.Sciaridae,Lycoriella,sativae,3.12,4.300000000000001,1.165,61
2023-08-25,AMMOD3_0673,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Siphona,geniculata,8.696344827586204,5.522551724137931,1.7546666666666675,117
2023-08-25,AMMOD3_0674,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Dolichopodidae,Diaphorinae,Argyra,leucocephala,3.9976666666666674,3.9993333333333334,1.274,23
2023-08-25,AMMOD3_0675,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,Lauxaniidae,Lauxaniinae,Calliopum,aeneum,3.3925757575757585,4.098636363636362,1.2430303030303027,2319
2023-08-25,AMMOD3_0676,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,#child.Fanniidae,Fannia,armata,6.208333333333333,3.9266666666666663,1.413333333333333,643
2023-08-25,AMMOD3_0677,AMMOD,AMMOD3,Site3,Meadow,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,532
